subject_id,title,,authority_id,xml,,
7221,"Banever, Gilbert, 1912?-",http://id.loc.gov/authorities/names/n92023514,n92023514,http://id.loc.gov/authorities/names/n92023514.marcxml.xml,,
2328,"Brown, Frank Edward, 1908-1988",http://id.loc.gov/authorities/names/n92056675,n92056675,http://id.loc.gov/authorities/names/n92056675.marcxml.xml,,
7301,"Brown, Frank Edward, 1908-1988",http://id.loc.gov/authorities/names/n92056675,n92056675,http://id.loc.gov/authorities/names/n92056675.marcxml.xml,,
3882,"Stilicho, Flavius, -408",http://id.loc.gov/authorities/names/n92059164,n92059164,http://id.loc.gov/authorities/names/n92059164.marcxml.xml,,
6799,"S. Pietro in Vincoli (Church : Rome, Italy)",http://id.loc.gov/authorities/names/n92100104,n92100104,http://id.loc.gov/authorities/names/n92100104.marcxml.xml,,
6178,Como (Italy),http://id.loc.gov/authorities/names/n80038199,n80038199,http://id.loc.gov/authorities/names/n80038199.marcxml.xml,,
2086,"Santo Stefano Rotondo (Church : Rome, Italy)",http://id.loc.gov/authorities/names/n94065339,n94065339,http://id.loc.gov/authorities/names/n94065339.marcxml.xml,,
2042,"Apollodorus, of Damascus, active 1st century-2nd century",http://id.loc.gov/authorities/names/n94076135,n94076135,http://id.loc.gov/authorities/names/n94076135.marcxml.xml,,
3771,Sabratha (Extinct city),info:lc/authorities/sh86004689,sh86004689,http://id.loc.gov/authorities/subjects/sh86004689,,
6585,"Millet, Francis Davis, 1846-1912",http://id.loc.gov/authorities/names/n96107058,n96107058,http://id.loc.gov/authorities/names/n96107058.marcxml.xml,,
2102,"Della Porta, Giacomo, 1532-1602",http://id.loc.gov/authorities/names/n97056239,n97056239,http://id.loc.gov/authorities/names/n97056239.marcxml.xml,,
2033,"Decius, Gaius Messius Quintus Trajanus, Emperor of Rome, 201-251",http://id.loc.gov/authorities/names/n97082538,n97082538,http://id.loc.gov/authorities/names/n97082538.marcxml.xml,,
3668,Ostia (Italy),http://id.loc.gov/authorities/names/n79046555,n79046555,http://id.loc.gov/authorities/names/n79046555.marcxml.xml,,
6562,Ostia (Italy),http://id.loc.gov/authorities/names/n79046555,n79046555,http://id.loc.gov/authorities/names/n79046555.marcxml.xml,,
7068,"Barton, Cheryl L.",http://id.loc.gov/authorities/names/nb2009011649,nb2009011649,http://id.loc.gov/authorities/names/nb2009011649.marcxml.xml,,
6469,"Ince Blundell Hall (Ince Blundell, England)",http://id.loc.gov/authorities/names/nb2011002675,nb2011002675,http://id.loc.gov/authorities/names/nb2011002675.marcxml.xml,,
428,"Vases, Red-figured",http://id.loc.gov/authorities/subjects/sh86000083,sh86000083,http://id.loc.gov/authorities/subjects/sh86000083.marcxml.xml,,
5314,Grotesque,http://id.loc.gov/authorities/subjects/sh85057439,sh85057439,http://id.loc.gov/authorities/subjects/sh85057439.marcxml.xml,,
7346,"Museo archeologico nazionale (Palestrina, Italy)",http://id.loc.gov/authorities/names/no2001005723,no2001005723,http://id.loc.gov/authorities/names/no2001005723.marcxml.xml,,
4606,Caelian Hill (Italy),http://id.loc.gov/authorities/subjects/sh96003302,sh96003302,http://id.loc.gov/authorities/subjects/sh96003302.marcxml.xml,,
4888,"Roads, Roman",http://id.loc.gov/authorities/subjects/sh85114568,sh85114568,http://id.loc.gov/authorities/subjects/sh85114568.marcxml.xml,,
4322,"Maderno, Carlo, 1556-1629",http://id.loc.gov/authorities/names/no2001077059,no2001077059,http://id.loc.gov/authorities/names/no2001077059.marcxml.xml,,
5769,"Ss. Luca e Martina (Church : Rome, Italy)",http://id.loc.gov/authorities/names/no2001092035,no2001092035,http://id.loc.gov/authorities/names/no2001092035.marcxml.xml,,
5560,"Zappeion Parthenag_geion (Istanbul, Turkey)",http://id.loc.gov/authorities/names/no2004092463,no2004092463,http://id.loc.gov/authorities/names/no2004092463.marcxml.xml,,
3768,"Larco, Sebastiano, 1901-",http://id.loc.gov/authorities/names/no2005086606,no2005086606,http://id.loc.gov/authorities/names/no2005086606.marcxml.xml,,
6748,"Chiesa di San Michele in Foro (Lucca, Italy)",http://id.loc.gov/authorities/names/no2006103121,no2006103121,http://id.loc.gov/authorities/names/no2006103121.marcxml.xml,,
5906,"Chiesa di San Michele in Foro (Lucca, Italy)",http://id.loc.gov/authorities/names/no2006103121,no2006103121,http://id.loc.gov/authorities/names/no2006103121.marcxml.xml,,
6889,"Rosborough, Ruskin R. (Ruskin Raymond)",http://id.loc.gov/authorities/names/no2006136971,no2006136971,http://id.loc.gov/authorities/names/no2006136971.marcxml.xml,,
7072,"Blair, Dike, 1952-",http://id.loc.gov/authorities/names/no2007142207,no2007142207,http://id.loc.gov/authorities/names/no2007142207.marcxml.xml,,
7074,"Muller, S. U. (Stephen Ulrich)",http://id.loc.gov/authorities/names/no2008069458,no2008069458,http://id.loc.gov/authorities/names/no2008069458.marcxml.xml,,
419,"Vases, Black-figured",http://id.loc.gov/authorities/subjects/sh86005692,sh86005692,http://id.loc.gov/authorities/subjects/sh86005692.marcxml.xml,,
5353,Djemila (Algeria),http://id.loc.gov/authorities/names/no2009178578,no2009178578,http://id.loc.gov/authorities/names/no2009178578.marcxml.xml,,
340,Bronze,http://id.loc.gov/authorities/subjects/sh85017093,sh85017093,http://id.loc.gov/authorities/subjects/sh85017093.marcxml.xml,,
5781,"Palazzo della Cancelleria (Rome, Italy)",http://id.loc.gov/authorities/names/no2010162584,no2010162584,http://id.loc.gov/authorities/names/no2010162584.marcxml.xml,,
6267,"Villa Cimbrone (Ravello, Italy)",http://id.loc.gov/authorities/names/no2011030075,no2011030075,http://id.loc.gov/authorities/names/no2011030075.marcxml.xml,,
4420,"Cappella Sistina (Vatican Palace, Vatican City)",http://id.loc.gov/authorities/names/n96096549,n96096549,http://id.loc.gov/authorities/names/n96096549.marcxml.xml,,
4937,Tripoli (Lybia),http://id.loc.gov/authorities/names/n81146957,n81146957,http://id.loc.gov/authorities/names/n81146957.marcxml.xml,,
6390,"Chiesa di San Cristoforo (Lucca, Italy)",http://id.loc.gov/authorities/names/no2012084672,no2012084672,http://id.loc.gov/authorities/names/no2012084672.marcxml.xml,,
7061,"Haber, Yotam, 1976-",http://id.loc.gov/authorities/names/no2013080843,no2013080843,http://id.loc.gov/authorities/names/no2013080843.marcxml.xml,,
3660,Tivoli (Italy),http://id.loc.gov/authorities/names/n81134745,n81134745,http://id.loc.gov/authorities/names/n81134745.marcxml.xml,,
3209,"Battistero di San Giovanni (Pisa, Italy)",http://id.loc.gov/authorities/names/no2016111925,no2016111925,http://id.loc.gov/authorities/names/no2016111925.marcxml.xml,,
2156,"Musée du Bardo (Algiers, Algeria)",http://id.loc.gov/authorities/names/no89010345,no89010345,http://id.loc.gov/authorities/names/no89010345.marcxml.xml,,
5832,Isola Bella (Italy),http://id.loc.gov/authorities/names/no93021841,no93021841,http://id.loc.gov/authorities/names/no93021841.marcxml.xml,,
6350,Temple of Antoninus and Faustina,http://id.loc.gov/authorities/names/no94022516,no94022516,http://id.loc.gov/authorities/names/no94022516.marcxml.xml,,
6094,"Basilica di S. Chiara (Assisi, Italy)",http://id.loc.gov/authorities/names/no94042937,no94042937,http://id.loc.gov/authorities/names/no94042937.marcxml.xml,,
6887,"Mahoney, J. O. (James Owen), 1907-1987",http://id.loc.gov/authorities/names/no94043376,no94043376,http://id.loc.gov/authorities/names/no94043376.marcxml.xml,,
6198,"Villa della Petraia (Florence, Italy)",http://id.loc.gov/authorities/names/no95042365,no95042365,http://id.loc.gov/authorities/names/no95042365.marcxml.xml,,
6191,"Villa di Castello (Florence, Italy)",http://id.loc.gov/authorities/names/no95042630,no95042630,http://id.loc.gov/authorities/names/no95042630.marcxml.xml,,
3224,Mount Soratte (Italy),http://id.loc.gov/authorities/names/no96010963,no96010963,http://id.loc.gov/authorities/names/no96010963.marcxml.xml,,
3788,Córdoba (Spain),http://id.loc.gov/authorities/names/n81058570,n81058570,http://id.loc.gov/authorities/names/n81058570.marcxml.xml,,
4630,Aventine Hill (Italy),http://id.loc.gov/authorities/subjects/sh94003838,sh94003838,http://id.loc.gov/authorities/subjects/sh94003838.marcxml.xml,,
5973,"San Claudio al Chienti (Church : Corridonia, Italy)",http://id.loc.gov/authorities/names/no99059541,no99059541,http://id.loc.gov/authorities/names/no99059541.marcxml.xml,,
5826,"Villa Cicogna (Bisuschio, Italy)",http://id.loc.gov/authorities/names/nr2001002279,nr2001002279,http://id.loc.gov/authorities/names/nr2001002279.marcxml.xml,,
5904,"Villa Gamberaia (Florence, Italy)",http://id.loc.gov/authorities/names/nr2001002280,nr2001002280,http://id.loc.gov/authorities/names/nr2001002280.marcxml.xml,,
7267,Pietrabbondante (Italy),http://id.loc.gov/authorities/names/nr2001021425,nr2001021425,http://id.loc.gov/authorities/names/nr2001021425.marcxml.xml,,
5997,"Caetani, Lelia, 1913-1977",http://id.loc.gov/authorities/names/nr2002001954,nr2002001954,http://id.loc.gov/authorities/names/nr2002001954.marcxml.xml,,
2184,"Camassei, Andrea, 1602-1649",http://id.loc.gov/authorities/names/nr2002026953,nr2002026953,http://id.loc.gov/authorities/names/nr2002026953.marcxml.xml,,
5875,Duomo di Lecce,http://id.loc.gov/authorities/names/nr2003008838,nr2003008838,http://id.loc.gov/authorities/names/nr2003008838.marcxml.xml,,
2176,"Viviani, Antonio, 1560-1620",http://id.loc.gov/authorities/names/nr2003029676,nr2003029676,http://id.loc.gov/authorities/names/nr2003029676.marcxml.xml,,
5747,"SS. Giovanni e Paolo (Basilica : Rome, Italy)",http://id.loc.gov/authorities/names/nr2003041249,nr2003041249,http://id.loc.gov/authorities/names/nr2003041249.marcxml.xml,,
3631,"SS. Giovanni e Paolo (Basilica : Rome, Italy)",http://id.loc.gov/authorities/names/nr2003041249,nr2003041249,http://id.loc.gov/authorities/names/nr2003041249.marcxml.xml,,
7097,"Davis, Tim, 1969-",http://id.loc.gov/authorities/names/nr2004001256,nr2004001256,http://id.loc.gov/authorities/names/nr2004001256.marcxml.xml,,
3858,"Chiesa di S. Costanza (Rome, Italy)",http://id.loc.gov/authorities/names/nr88009416,nr88009416,http://id.loc.gov/authorities/names/nr88009416.marcxml.xml,,
2118,"Nerva, Emperor of Rome, approximately 30-98",http://id.loc.gov/authorities/names/nr89013885,nr89013885,http://id.loc.gov/authorities/names/nr89013885.marcxml.xml,,
2108,"SS. Nereo e Achilleo (Basilica : Rome, Italy)",http://id.loc.gov/authorities/names/nr90003599,nr90003599,http://id.loc.gov/authorities/names/nr90003599.marcxml.xml,,
5840,"S. Pietro (Church : Mantua, Italy)",http://id.loc.gov/authorities/names/nr90016164,nr90016164,http://id.loc.gov/authorities/names/nr90016164.marcxml.xml,,
6738,"San Giovanni degli Eremiti (Church : Palermo, Italy)",http://id.loc.gov/authorities/names/nr90020016,nr90020016,http://id.loc.gov/authorities/names/nr90020016.marcxml.xml,,
5989,"Basilica palladiana (Vicenza, Italy)",http://id.loc.gov/authorities/names/nr91003820,nr91003820,http://id.loc.gov/authorities/names/nr91003820.marcxml.xml,,
3289,Centuripe (Italy),http://id.loc.gov/authorities/names/nr91015964,nr91015964,http://id.loc.gov/authorities/names/nr91015964.marcxml.xml,,
3696,Accademia etrusca. Museo,http://id.loc.gov/authorities/names/nr93018001,nr93018001,http://id.loc.gov/authorities/names/nr93018001.marcxml.xml,,
6024,"S. Maria Forisportam (Church : Lucca, Italy)",http://id.loc.gov/authorities/names/nr93045802,nr93045802,http://id.loc.gov/authorities/names/nr93045802.marcxml.xml,,
7303,"Aldrich, Chester Holmes, 1871-1940",http://id.loc.gov/authorities/names/nr93050817,nr93050817,http://id.loc.gov/authorities/names/nr93050817.marcxml.xml,,
3622,"Santa Maria Antiqua (Church : Rome, Italy)",http://id.loc.gov/authorities/names/nr94012895,nr94012895,http://id.loc.gov/authorities/names/nr94012895.marcxml.xml,,
6820,"Chiesa del Redentore (Venice, Italy)",http://id.loc.gov/authorities/names/nr95007477,nr95007477,http://id.loc.gov/authorities/names/nr95007477.marcxml.xml,,
3247,Urbisaglia (Italy),http://id.loc.gov/authorities/names/nr95046308,nr95046308,http://id.loc.gov/authorities/names/nr95046308.marcxml.xml,,
5325,"Notre-Dame-La-Grande (Church : Poitiers, France)",http://id.loc.gov/authorities/names/nr96010639,nr96010639,http://id.loc.gov/authorities/names/nr96010639.marcxml.xml,,
4401,"Chiesa di Santa Maria Maggiore (Tuscania, Italy)",http://id.loc.gov/authorities/names/nr97008823,nr97008823,http://id.loc.gov/authorities/names/nr97008823.marcxml.xml,,
6013,"Chiesa di Santa Maria Maggiore (Tuscania, Italy)",http://id.loc.gov/authorities/names/nr97008823,nr97008823,http://id.loc.gov/authorities/names/nr97008823.marcxml.xml,,
6188,"Villa di Collazzi (Florence, Italy)",http://id.loc.gov/authorities/names/nr98002816,nr98002816,http://id.loc.gov/authorities/names/nr98002816.marcxml.xml,,
6213,"Villa Rosazza (Genoa, Italy)",http://id.loc.gov/authorities/names/nr98032231,nr98032231,http://id.loc.gov/authorities/names/nr98032231.marcxml.xml,,
5774,"Mausoleo delle Fosse ardeatine (Rome, Italy)",http://id.loc.gov/authorities/subjects/sh00004890,sh00004890,http://id.loc.gov/authorities/subjects/sh00004890.marcxml.xml,,
3261,"Arch of Augustus (Rimini, Italy)",http://id.loc.gov/authorities/subjects/sh00004901,sh00004901,http://id.loc.gov/authorities/subjects/sh00004901.marcxml.xml,,
7176,Nymphaea (Architecture)--Italy,http://id.loc.gov/authorities/subjects/sh00007423,sh00007423,http://id.loc.gov/authorities/subjects/sh00007423.marcxml.xml,,
6404,Stabian Baths (Pompeii),http://id.loc.gov/authorities/subjects/sh00008547,sh00008547,http://id.loc.gov/authorities/subjects/sh00008547.marcxml.xml,,
3996,Stabian Baths (Pompeii),http://id.loc.gov/authorities/subjects/sh00008547,sh00008547,http://id.loc.gov/authorities/subjects/sh00008547.marcxml.xml,,
5934,"Palazzo Barbaran da Porto (Vicenza, Italy)",http://id.loc.gov/authorities/subjects/sh2001002958,sh2001002958,http://id.loc.gov/authorities/subjects/sh2001002958.marcxml.xml,,
5671,Falerii Novi (Extinct city),http://id.loc.gov/authorities/subjects/sh2001005994,sh2001005994,http://id.loc.gov/authorities/subjects/sh2001005994.marcxml.xml,,
3218,Falerii Novi (Extinct city),http://id.loc.gov/authorities/subjects/sh2001005994,sh2001005994,http://id.loc.gov/authorities/subjects/sh2001005994.marcxml.xml,,
2130,"Area sacra di Largo Argentina (Rome, Italy)",http://id.loc.gov/authorities/subjects/sh2001007096,sh2001007096,http://id.loc.gov/authorities/subjects/sh2001007096.marcxml.xml,,
5929,"Ca' Vendramin Calergi (Venice, Italy)",http://id.loc.gov/authorities/subjects/sh2001008584,sh2001008584,http://id.loc.gov/authorities/subjects/sh2001008584.marcxml.xml,,
327,Impasto ware,http://id.loc.gov/authorities/subjects/sh2001008599,sh2001008599,http://id.loc.gov/authorities/subjects/sh2001008599.marcxml.xml,,
427,Impasto ware,http://id.loc.gov/authorities/subjects/sh2001008599,sh2001008599,http://id.loc.gov/authorities/subjects/sh2001008599.marcxml.xml,,
5864,Marecchia River Valley (Italy),http://id.loc.gov/authorities/subjects/sh2002000591,sh2002000591,http://id.loc.gov/authorities/subjects/sh2002000591.marcxml.xml,,
3248,Ricina (Extinct city),http://id.loc.gov/authorities/subjects/sh2002001720,sh2002001720,http://id.loc.gov/authorities/subjects/sh2002001720.marcxml.xml,,
7415,Magnesia ad Maeander (Extinct city),http://id.loc.gov/authorities/subjects/sh2002003948,sh2002003948,http://id.loc.gov/authorities/subjects/sh2002003948.marcxml.xml,,
7325,"Painting, Late Renaissance",http://id.loc.gov/authorities/subjects/sh2002005567,sh2002005567,http://id.loc.gov/authorities/subjects/sh2002005567.marcxml.xml,,
5407,Gigantomachy (Greek mythology),http://id.loc.gov/authorities/subjects/sh2002007570,sh2002007570,http://id.loc.gov/authorities/subjects/sh2002007570.marcxml.xml,,
3962,Triangular Forum (Pompeii),http://id.loc.gov/authorities/subjects/sh2002010417,sh2002010417,http://id.loc.gov/authorities/subjects/sh2002010417.marcxml.xml,,
5214,Ludovisi Throne,http://id.loc.gov/authorities/subjects/sh2002010512,sh2002010512,http://id.loc.gov/authorities/subjects/sh2002010512.marcxml.xml,,
5204,Venus (Roman deity)--Art,http://id.loc.gov/authorities/subjects/sh2002011102,sh2002011102,http://id.loc.gov/authorities/subjects/sh2002011102.marcxml.xml,,
3321,"Euryalus Castle (Syracuse, Italy)",http://id.loc.gov/authorities/subjects/sh2002012361,sh2002012361,http://id.loc.gov/authorities/subjects/sh2002012361.marcxml.xml,,
3020,"Tomb of Caecilia Metella (Rome, Italy)",http://id.loc.gov/authorities/subjects/sh2003006409,sh2003006409,http://id.loc.gov/authorities/subjects/sh2003006409.marcxml.xml,,
4397,"Roma Termini (Rome, Italy)",http://id.loc.gov/authorities/subjects/sh2003011657,sh2003011657,http://id.loc.gov/authorities/subjects/sh2003011657.marcxml.xml,,
3036,"Nemi, Lake (Italy)",http://id.loc.gov/authorities/subjects/sh2004008862,sh2004008862,http://id.loc.gov/authorities/subjects/sh2004008862.marcxml.xml,,
3092,"Porta Maggiore (Rome, Italy)",http://id.loc.gov/authorities/subjects/sh2004010578,sh2004010578,http://id.loc.gov/authorities/subjects/sh2004010578.marcxml.xml,,
5194,"Clivus Scauri (Rome, Italy)",http://id.loc.gov/authorities/subjects/sh2004014919,sh2004014919,http://id.loc.gov/authorities/subjects/sh2004014919.marcxml.xml,,
5824,"Palazzo Tursi (Genoa, Italy)",http://id.loc.gov/authorities/subjects/sh2005005945,sh2005005945,http://id.loc.gov/authorities/subjects/sh2005005945.marcxml.xml,,
5735,"Piazza del Campidoglio (Rome, Italy)",http://id.loc.gov/authorities/subjects/sh2005008179,sh2005008179,http://id.loc.gov/authorities/subjects/sh2005008179.marcxml.xml,,
4043,"Temple of Fortuna Primigenia (Palestrina, Italy)",http://id.loc.gov/authorities/subjects/sh2006003576,sh2006003576,http://id.loc.gov/authorities/subjects/sh2006003576.marcxml.xml,,
3676,"Temple of Fortuna Primigenia (Palestrina, Italy)",http://id.loc.gov/authorities/subjects/sh2006003576,sh2006003576,http://id.loc.gov/authorities/subjects/sh2006003576.marcxml.xml,,
